Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C17, C18, C19, C2, C20, C21, C3, C6, C7, C8, C9",0402,16,100nF,
"C14, C15, C4, C5",0402,4,1uF,
"C16, C22",0402,2,10uF,
D1,0805,1,RF_LED_GREEN,
D2,0805,1,GPS_LED_BLUE,
D3,0805,1,PWR_LED_RED,
D4,D_SOD-323,1,D_Schottky,
J1,SMA_Molex_73251-1153_EdgeMount_Horizontal,1,Edge mounted SMA,
J2,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J5,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,BATT Screw Terminal,
"Q1, Q2",SOT-23,2,AO3401A,
"R1, R5, R6, R7",0402,4,1k,
"R10, R11, R2",0402,3,5.1k,
"R12, R15",0402,2,10k,
"R13, R14",0402,2,22Ω,
R3,0402,1,30k,
R4,0402,1,51k,
"R8, R9",0402,2,4.7k,
TP1,TestPoint_Pad_D1.0mm,1,VBUS,
TP2,TestPoint_Pad_D1.0mm,1,3.3V,
TP3,TestPoint_Pad_D1.0mm,1,BATT+,
TP4,TestPoint_Pad_D1.0mm,1,BATT_RAW+,
TP5,TestPoint_Pad_D1.0mm,1,GND,
TP7,TestPoint_Pad_1.0x1.0mm,1,SWCLK,
TP8,TestPoint_Pad_1.0x1.0mm,1,SWD,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U3,LCC-16_L16.0-W16.0-P2.00-TL,1,433MHz,
U4,SOT-23-5,1,AP2112K-3.3,
U5,LGA-10_L2.0-W2.0-P0.50-TL_BMP390L,1,BMP390,
U6,LGA-14_L3.0-W2.5-P0.50-TL,1,LSMDSO32TR,
U7,GPSM-SMD_12P-L16.0-W16.0-P2.54-BL,1,L80RE-M37,
U8,SOT-23-6,1,USBLC6-2SC6,
X1,OSC-SMD_4P-L2.0-W1.6-BL,1,12MHz,
