Designator,Mid X,Mid Y,Rotation,Layer
C1,161.6,-105.0,270.0,top
C10,143.5,-107.7,270.0,top
C11,137.535,-99.9,90.0,top
C12,159.4,-101.4,270.0,top
C13,161.6,-101.35,90.0,top
C14,152.575,-76.175,270.0,top
C15,153.5,-106.2,180.0,top
C16,155.2,-97.9,0.0,top
C17,132.04,-53.49,90.0,top
C18,134.55,-53.49,90.0,top
C2,159.3,-105.0,270.0,top
C3,134.535,-99.0325,0.0,top
C4,134.0,-107.5,0.0,top
C7,132.0,-57.2,270.0,top
C8,158.6,-67.9,180.0,top
C9,139.7,-99.9,90.0,top
D1,144.9,-114.3,270.0,top
D2,142.5525,-78.565,180.0,top
D3,142.5525,-76.115,180.0,top
D4,142.545,-73.53,180.0,top
J1,141.62,-122.47,90.0,top
J2,132.1,-91.54,270.0,top
J3,132.8,-114.1125,90.0,top
L1,134.535,-100.9325,0.0,top
Q1,139.7,-114.4,0.0,top
Q2,139.7,-108.3875,0.0,top
R1,138.1,-83.44,90.0,top
R10,138.575,-73.565,180.0,top
R11,160.075,-76.175,90.0,top
R12,162.075,-76.175,90.0,top
R13,149.0375,-101.3,90.0,top
R14,147.0375,-101.3,90.0,top
R2,140.4,-93.3,0.0,top
R3,130.535,-104.2325,270.0,top
R4,140.2,-83.44,270.0,top
R5,142.2,-83.44,90.0,top
R6,134.5,-57.2,90.0,top
R7,158.6,-65.4,180.0,top
R8,138.5825,-78.5,180.0,top
R9,138.5825,-76.1,180.0,top
RESET_SW1,131.9,-66.0,270.0,top
RESET_SW2,162.6,-66.2,270.0,top
U1,156.4,-117.1,90.0,top
U2,146.6,-56.89,0.0,top
U3,141.0,-87.64,270.0,top
U4,134.3,-104.4,270.0,top
U6,153.45,-102.1,0.0,top
U7,156.0,-75.8,0.0,top
U8,155.2,-88.3,0.0,top
